identity_key,evidence_id,description,kcal_per_100g,protein_per_100g,production_present,vote_split,mechanically_vetoed,coverage_state,source,is_current_winner,winner_now,winner_if_removed,price_delta_if_removed,frontier_reason,disposition,reason
salmon|roasted,usda:172001,"Fish, salmon, pink, cooked, dry heat",153,24.6,False,DIFFER=9 SAME_I=1,False,uncovered,unstable_or_proposed,False,,,,,,
salmon|roasted,usda:173692,"Fish, salmon, sockeye, cooked, dry heat",156,26.5,False,DIFFER=8 SAME_I=2,False,uncovered,unstable_or_proposed,False,,,,,,
salmon|roasted,usda:175168,"Fish, salmon, Atlantic, farmed, cooked, dry heat",206,22.1,False,DIFFER=9 SAME_I=1,False,uncovered,unstable_or_proposed,False,,,,,,
shrimp|,usda:171970,"Crustaceans, shrimp, mixed species, cooked, breaded and fried",242,21.4,False,DIFFER=1 SAME_I=9,False,covered,unstable_or_proposed,False,175180,175180,0.0,,,
shrimp|,usda:171971,"Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)",119,22.8,False,SAME_I=10,False,covered,unstable_or_proposed,False,175180,175180,0.0,,,
shrimp|fried,usda:171970,"Crustaceans, shrimp, mixed species, cooked, breaded and fried",242,21.4,False,SAME_I=10,True,uncovered,unstable_or_proposed,False,,,,,,
shrimp|fried,usda:172037,"Fast foods, shrimp, breaded and fried",308,7.84,False,DIFFER=9 SAME_I=1,True,uncovered,unstable_or_proposed,False,,,,,,
tilapia|roasted,usda:167634,"Mutton, cooked, roasted (Navajo)",234,33.4,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
tilapia|roasted,usda:170686,"Buckwheat groats, roasted, cooked",92.0,3.38,False,DIFFER=10,False,covered,frontier_escalation,False,,,,admitting_it_changes_the_winner_now,,
tilapia|roasted,usda:175177,"Fish, tilapia, cooked, dry heat",128,26.2,True,DIFFER=7 SAME_I=3,True,covered,unstable_or_proposed,False,,,,,,
vegetable oil|,usda:171422,"Vegetable oil, palm kernel",862,0.0,False,SAME_I=10,True,uncovered,unstable_or_proposed,False,,,,,,
vegetable oil|,usda:172370,"Oil, vegetable, soybean, refined",884,0.0,False,SAME_I=10,True,uncovered,unstable_or_proposed,False,,,,,,
